Algoritma,Run,Score,Dist_km,MaxFatigue,Violations
ACO,1,173.16312677864224,81.9534,16.483890711456894,5
ACO,2,167.69464213378592,81.91850000000001,18.31045685351437,4
ACO,3,173.23833150224874,90.21090000000001,17.2109726008995,4
ACO,4,172.24344898890348,91.57409999999999,16.2677395955614,4
ACO,5,172.29744793853257,91.21889999999999,16.431419175413026,4
ACO,6,172.28900910566728,90.4744,16.725843642266913,4
ACO,7,171.2266254443028,91.29159999999999,15.97401017772113,4
ACO,8,175.72220066498636,86.0953,15.85076026599454,5
ACO,9,171.2266254443028,91.29159999999999,15.97401017772113,4
ACO,10,169.2188123407027,84.82260000000001,17.758484936281075,4
GA,1,180.4192474192991,95.3366,18.033058967719644,4
GA,2,168.53336838209597,92.36729999999997,18.466427352838398,3
GA,3,181.5387,88.23870000000001,21.32,4
GA,4,180.6706807050591,94.52810000000001,18.457032282023643,4
GA,5,188.21877527373425,96.6615,16.6229101094937,5
GA,6,182.13982144880418,95.7636,18.55048857952168,4
GA,7,186.7104,99.5604,18.86,4
GA,8,170.84204064009424,97.3253,17.4066962560377,3
GA,9,171.55750757472634,88.95730000000002,17.04008302989053,4
GA,10,182.09203054327438,97.56639999999999,17.810252217309756,4
